Job Title;Company Name;Location;Posted Date;Job Type;Job Skills;Link;Salary;Responsibilities
Logging Geologist-Surface Data Logging, Senior;Halliburton Energy Services, Inc. ;Cairo, Egypt ;10 days ago;Full Time;Full TimeNot specified  Installation/Maintenance/Repair  IT/Software Development  Engineering - Telecom/Technology  information technology (it)  computer science  engineering  sql  database  communication skills  data;https://wuzzuf.net/jobs/p/kieSyMm3xKX1-Logging-Geologist-Surface-Data-Logging-Senior-Halliburton-Energy-Services-Inc-Cairo-Egypt?o=30&l=sp&t=sj&a=data|search-v3|navbl;;
Data Analytics Supervisor;Emirates Group Careers ;Dubai, United Arab Emirates ;24 hours ago;Full Time;Full TimeNot specified  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Computer Science  Information Technology (IT)  SQL  Data Analytics  Computer Engineering  Analysis  BI;https://wuzzuf.net/jobs/p/FkUI2ecsUzsX-Data-Analytics-Supervisor-Emirates-Group-Careers-Dubai-United-Arab-Emirates?o=31&l=sp&t=sj&a=data|search-v3|navbl;;
Data Engineer;Second profit   ;Nasr City, Cairo, Egypt ;1 hour ago;Full Time;Full TimeExperienced  5 - 6 Yrs of Exp  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  SQL Server  Amazon AWS  Computer Engineering  AWS  Computer Science  Data  Data Management;https://wuzzuf.net/jobs/p/AdX7WZmgcfku-Data-Engineer-Second-profit-Cairo-Egypt?o=32&l=sp&t=sj&a=data|search-v3|navbl;;
Senior Data Scientist;BBI-Consultancy ;Nasr City, Cairo, Egypt ;24 hours ago;Full Time;Full TimeExperienced  4+ Yrs of Exp  IT/Software Development  Big Data  Computer Science  Data Analytics  Data Science  Data  data scientist  Information Technology (IT)  Mathematics  Science;https://wuzzuf.net/jobs/p/X9AYBCpYJYg3-Senior-Data-Scientist-BBI-Consultancy-Cairo-Egypt?o=33&l=sp&t=sj&a=data|search-v3|navbl;;
Data Entry Clerk;Air Arabia ;Mohandessin, Giza, Egypt ;3 hours ago;Full Time;Full TimeExperienced  1 - 3 Yrs of Exp  Accounting/Finance  Data  Data Entry  excel  Microsoft Office  ERP System  typing skills  Accounting;https://wuzzuf.net/jobs/p/nVMcqHr2VOLH-Data-Entry-Clerk-Air-Arabia-Giza-Egypt?o=34&l=sp&t=sj&a=data|search-v3|navbl;;
Data Governance Sr. Specialist;Local Content And Government Procurement Authority ;Riyadh, Saudi Arabia ;2 hours ago;Full Time;Full TimeNot specified  Human Resources  IT/Software Development  Engineering - Telecom/Technology  human resources (hr)  personnel  microsoft office  english  computer science  quality  management;https://wuzzuf.net/jobs/p/D4pReUtfqHs4-Data-Governance-Sr-Specialist-Local-Content-And-Government-Procurement-Authority-Riyadh-Saudi-Arabia?o=35&l=sp&t=sj&a=data|search-v3|navbl;;
HAWK & Patriot Data & Systems Analyst / Programmer;Prattwhitney ;Jeddah, Saudi Arabia ;10 days ago;Full Time;Full TimeNot specified  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  computer science  information technology (it)  software development  sql  java  engineering  html;https://wuzzuf.net/jobs/p/5hA130hRAQ8z-HAWK-Patriot-Data-Systems-Analyst-Programmer-Prattwhitney-Jeddah-Saudi-Arabia?o=36&l=sp&t=sj&a=data|search-v3|navbl;;
Data I/O Specialist;Pixelogic Media Partners, LLC ;Cairo, Egypt ;14 days ago;Full Time;Full TimeNot specified  IT/Software Development  Marketing/PR/Advertising  Engineering - Telecom/Technology  information technology (it)  computer science  marketing  microsoft office  media  customer service  xml;https://wuzzuf.net/jobs/p/9jpJmZEJXg9j-Data-IO-Specialist-Pixelogic-Media-Partners-LLC-Cairo-Egypt?o=37&l=sp&t=sj&a=data|search-v3|navbl;;
Data Scientist;egabi solutions ;Heliopolis, Cairo, Egypt ;15 days ago;Full Time;Full TimeExperienced  3 - 7 Yrs of Exp  IT/Software Development  AI  ML  Data Analysis  Data Mining  Data Science  data scientist  Information Technology (IT)  Machine Learning;https://wuzzuf.net/jobs/p/gsWTviAzR4za-Data-Scientist-egabi-solutions-Cairo-Egypt?o=38&l=sp&t=sj&a=data|search-v3|navbl;;
Field surveyor (Data collection agent) - KSA;Tafaseel Group ;Riyadh, Saudi Arabia ;15 days ago;Full Time;Full TimeNot specified  Engineering - Construction/Civil/Architecture  Project/Program Management  Engineering - Mechanical/Electrical  civil engineering  engineering  autocad  architecture  english  software;https://wuzzuf.net/jobs/p/YYplSXEJu9QJ-Field-surveyor-Data-collection-agent---KSA-Tafaseel-Group-Riyadh-Saudi-Arabia?o=39&l=sp&t=sj&a=data|search-v3|navbl;;
Data Center Account Manager;EGID company ;New Cairo, Cairo, Egypt ;16 days ago;Full Time;Full TimeExperienced  2 - 4 Yrs of Exp  IT/Software Development  Sales/Retail  Engineering - Telecom/Technology  Sales  Sales Engineering  Arabic  B2B  B2B Sales  Communication  Communication skills;https://wuzzuf.net/jobs/p/8kbjPL494SmN-Data-Center-Account-Manager-EGID-company-Cairo-Egypt?o=40&l=sp&t=sj&a=data|search-v3|navbl;;
Data Analyst;Arma-HSA ;New Cairo, Cairo, Egypt ;16 days ago;Full Time;Full TimeExperienced  3 - 5 Yrs of Exp  Analyst/Research  Data Analysis  Computer Science  Information Technology (IT)  Reporting  Power BI  IT  analytical  Engineering  English;https://wuzzuf.net/jobs/p/zOC5QRQ2OMdS-Data-Analyst-Arma-HSA-Cairo-Egypt?o=41&l=sp&t=sj&a=data|search-v3|navbl;;
Fitness Data Entry Clerk;TEMPO ;New Cairo, Cairo, Egypt ;14 days ago;Full Time;Full TimeFreelance / ProjectEntry Level  0 - 2 Yrs of Exp  Administration  Sports and Leisure  Data Entry  fitness  Sports;https://wuzzuf.net/jobs/p/05HYTf3CYQVM-Fitness-Data-Entry-Clerk-TEMPO-Cairo-Egypt?o=42&l=sp&t=sj&a=data|search-v3|navbl;;
Data Analytics Engineer;Erada ;Maadi, Cairo, Egypt ;17 days ago;Freelance / Project;Full TimeExperienced  3 - 4 Yrs of Exp  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  analytical  Information Technology (IT)  Software Engineering  Data Analytics  Data  Engineering  Analysis;https://wuzzuf.net/jobs/p/z7Ic3alVNX9J-Data-Analytics-Engineer-Erada-Cairo-Egypt?o=43&l=sp&t=sj&a=data|search-v3|navbl;;
Data Analyst;Second profit   ;Nasr City, Cairo, Egypt ;17 days ago;Full Time;Full TimeExperienced  1 - 3 Yrs of Exp  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Analysis  Analyst  analytical  business  Computer Science  Data  Data Analysis;https://wuzzuf.net/jobs/p/o8PFwBrTgw1l-Data-Analyst-Second-profit-Cairo-Egypt?o=44&l=sp&t=sj&a=data|search-v3|navbl;;
Data Catalog Specialist;D4DS ;Riyadh, Saudi Arabia ;15 days ago;Full Time;Full TimeNot specified  Administration  IT/Software Development  Analyst/Research  Data Entry  Administration  Microsoft Office  Admin  Computer Skills  Typing  Customer Service;https://wuzzuf.net/jobs/p/TPCmGdB61gdH-Data-Catalog-Specialist-D4DS-Riyadh-Saudi-Arabia?o=45&l=sp&t=sj&a=data|search-v3|navbl;;
Data Scientist & Artificial Intelligence Engineer (3471);Eram Talent ;Riyadh, Saudi Arabia ;8 days ago;Full Time;Full TimeNot specified  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Python  Computer Science  Information Technology (IT)  SQL  Data Science  Data Scientist  Machine Learning;https://wuzzuf.net/jobs/p/0smA41cQhEzd-Data-Scientist-Artificial-Intelligence-Engineer-3471-Eram-Talent-Riyadh-Saudi-Arabia?o=46&l=sp&t=sj&a=data|search-v3|navbl;;
Project Manager - Data Networks (ICT);SABA ;Heliopolis, Cairo, Egypt ;15 days ago;Full Time;Full TimeExperienced  2 - 5 Yrs of Exp  IT/Software Development  Project/Program Management  Engineering - Telecom/Technology  Project Management  Software Engineering  Data Networks  Networks  PMP  Microsoft Visio  Smartdraw;https://wuzzuf.net/jobs/p/ZNlR1cf03pNL-Project-Manager---Data-Networks-ICT-SABA-Cairo-Egypt?o=47&l=sp&t=sj&a=data|search-v3|navbl;;
Data Entry and App developer;MFG ;Katameya, Cairo, Egypt ;13 days ago;Full Time;Full TimeExperienced  2+ Yrs of Exp  IT/Software Development  Computer Science  Data Entry  Development  Programming  Software Engineering;https://wuzzuf.net/jobs/p/wE4J5HM0aXpq-Data-Entry-and-App-developer-MFG-Cairo-Egypt?o=48&l=sp&t=sj&a=data|search-v3|navbl;;
Tech & Data Lead - CX;Cenomi Group ;Riyadh, Saudi Arabia ;18 days ago;Full Time;Full TimeNot specified  Customer Service/Support  IT/Software Development  Engineering - Telecom/Technology  Customer Service  Customer Support  Customer Care  Information Technology (IT)  Computer Science  Call Center  Engineering;https://wuzzuf.net/jobs/p/j8BAFLlKa7mM-Tech-Data-Lead---CX-Cenomi-Group-Riyadh-Saudi-Arabia?o=49&l=sp&t=sj&a=data|search-v3|navbl;;
Senior Engineer-Data;DAMAC Properties ;Dubai, United Arab Emirates ;10 days ago;Full Time;Full TimeNot specified  IT/Software Development  Engineering - Telecom/Technology  Engineering - Mechanical/Electrical  Engineering  Information Technology (IT)  Computer Science  Software Engineering  Software Development  Computer Engineering  Mechanical Engineering;https://wuzzuf.net/jobs/p/jlaPrr0DYh5i-Senior-Engineer-Data-DAMAC-Properties-Dubai-United-Arab-Emirates?o=50&l=sp&t=sj&a=data|search-v3|navbl;;
Data Entry Specialist;shop4build ;Maadi, Cairo, Egypt ;10 days ago;Internship;InternshipEntry Level  0 - 1 Yrs of Exp  Engineering - Construction/Civil/Architecture  Writing/Editorial  MS Office  Data Entry  Microsoft Office  Grammar  MS  Data  Communication  English;https://wuzzuf.net/internship/4518vl9XRijD-Data-Entry-Specialist-shop4build-Cairo-Egypt?o=51&l=sp&t=sj&a=data|search-v3|navbl;;
Data Entry;Finding From Egy  ;Smouha, Alexandria, Egypt ;16 days ago;Full Time;Full TimeExperienced  1 - 7 Yrs of Exp  Administration  Customer Service/Support  Writing/Editorial  Data Entry  excel  English  Typing  typing skills  Data;https://wuzzuf.net/jobs/p/33HLRmnRE2aM-Data-Entry-Finding-From-Egy-Alexandria-Egypt?o=52&l=sp&t=sj&a=data|search-v3|navbl;;
Fitness Data Collection Coordinator/ Analyst;TEMPO ;New Cairo, Cairo, Egypt ;18 days ago;Full Time;Full TimeFreelance / ProjectEntry Level  1 - 3 Yrs of Exp  Other  Analyst/Research  English  Data Entry  Microsoft Office  fitness  Data Collection  Analysis  Data Analysis;https://wuzzuf.net/jobs/p/0cgPzMiYztzb-Fitness-Data-Collection-Coordinator-Analyst-TEMPO-Cairo-Egypt?o=53&l=sp&t=sj&a=data|search-v3|navbl;;
GSC EMEA Master Data Analyst;Pfizer Inc ;Dubai, United Arab Emirates ;17 days ago;Freelance / Project;Full TimeNot specified  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  information technology (it)  analysis  computer science  business analysis  sap  supply chain  communication skills;https://wuzzuf.net/jobs/p/EmwozyayB6wQ-GSC-EMEA-Master-Data-Analyst-Pfizer-Inc-Dubai-United-Arab-Emirates?o=54&l=sp&t=sj&a=data|search-v3|navbl;;
Magento Data Entry;Mazaya ;New Cairo, Cairo, Egypt ;18 days ago;Full Time;Full TimeEntry Level  1 - 4 Yrs of Exp  Customer Service/Support  Writing/Editorial  Fashion  Ecommerce  English  excel  Customer Service;https://wuzzuf.net/jobs/p/LdfpU4twzJNd-Magento-Data-Entry-Mazaya-Cairo-Egypt?o=55&l=sp&t=sj&a=data|search-v3|navbl;;
Data Engineer-Enterprise content management (Internship);IBM WTC Egypt ;Cairo, Egypt ;10 days ago;Full Time;Full TimeNot specified  IT/Software Development  Marketing/PR/Advertising  Engineering - Telecom/Technology  information technology (it)  computer science  engineering  software development  software  java  management;https://wuzzuf.net/jobs/p/o6W5sNSO4Vvw-Data-Engineer-Enterprise-content-management-Internship-IBM-WTC-Egypt-Cairo-Egypt?o=56&l=sp&t=sj&a=data|search-v3|navbl;;
Data Engineer;Salt Search Ltd ;Dubai, United Arab Emirates ;19 days ago;Full Time;Full TimeNot specified  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Information Technology (IT)  Computer Science  Computer Engineering  Engineering  Software Engineering  Software Development  SQL;https://wuzzuf.net/jobs/p/CiSijQCSQOAQ-Data-Engineer-Salt-Search-Ltd-Dubai-United-Arab-Emirates?o=57&l=sp&t=sj&a=data|search-v3|navbl;;
Data and Analytics Specialist,;Madison Pearl ;Dubai, United Arab Emirates ;19 days ago;Full Time;Full TimeNot specified  Administration  IT/Software Development  Analyst/Research  Data Entry  Administration  Microsoft Office  Admin  Computer Skills  Information Technology (IT)  Typing;https://wuzzuf.net/jobs/p/MPOsoupV75BY-Data-and-Analytics-Specialist-Madison-Pearl-Dubai-United-Arab-Emirates?o=58&l=sp&t=sj&a=data|search-v3|navbl;;
Lead Operations Data and Performance Analyst;Qatar Airways - Other locations ;Doha, Qatar ;14 days ago;Full Time;Full TimeNot specified  IT/Software Development  Operations/Management  Engineering - Telecom/Technology  information technology (it)  computer science  engineering  sales  microsoft office  management  software development;https://wuzzuf.net/jobs/p/zrsUa4LYmnHl-Lead-Operations-Data-and-Performance-Analyst-Qatar-Airways---Other-locations-Doha-Qatar?o=59&l=sp&t=sj&a=data|search-v3|navbl;;
Senior Data Engineer;FlairsTech ;Cairo, Egypt ;21 days ago;Full Time;Full TimeExperienced  4 - 6 Yrs of Exp  IT/Software Development  Azure  TDD  Continuous Refactoring  Data Engineering  Java  Python  Snowflake;https://wuzzuf.net/jobs/p/9MxbMiUBDlBX-Senior-Data-Engineer-FlairsTech-Cairo-Egypt?o=60&l=sp&t=sj&a=data|search-v3|navbl;;
Tech & Data Lead - CX;FAH Ecom ;Riyadh, Saudi Arabia ;15 days ago;Full Time;Full TimeNot specified  Customer Service/Support  IT/Software Development  Engineering - Telecom/Technology  Customer Service  Customer Support  Customer Care  Information Technology (IT)  Computer Science  Call Center  Engineering;https://wuzzuf.net/jobs/p/pj9K7FPUI3mO-Tech-Data-Lead---CX-FAH-Ecom-Riyadh-Saudi-Arabia?o=61&l=sp&t=sj&a=data|search-v3|navbl;;
Product Data Analyst Dubai, UAE Business Intelligence Team;Easygenerator ;Dubai, United Arab Emirates ;15 days ago;Full Time;Full TimeNot specified  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  computer science  information technology (it)  analysis  python  sql  bi  cloud;https://wuzzuf.net/jobs/p/ePOr1oEMJ95Z-Product-Data-Analyst-Dubai-UAE-Business-Intelligence-Team-Easygenerator-Dubai-United-Arab-Emirates?o=62&l=sp&t=sj&a=data|search-v3|navbl;;
